ip,anonymityLevel,asn,country,isp,latency,org,port,protocols
14.52.216.9,elite,AS4766,KR,Korea Telecom,247,Sudogwongangnambonbujang,1081,socks4
62.152.53.186,elite,AS3175,RU,Citytelecom LLC,98,Filanco,8909,socks4
41.191.203.89,elite,AS37057,LS,ENTERPRISE,287,N/A,5678,socks4
131.161.238.14,elite,AS263687,AR,Tucuman BBS S.R.L.,299,Tucuman BBS S.R.L,51327,socks4
185.171.54.30,elite,AS44285,IR,Shahrad,100,N/A,4153,socks4
178.18.248.104,elite,AS51167,DE,Contabo GmbH,92,Contabo GmbH,49153,socks4
172.67.156.214,elite,AS13335,CA,"Cloudflare, Inc.",2,"Cloudflare, Inc.",80,socks4
181.143.61.124,elite,N/A,CO,EPM Telecomunicaciones S.A. E.S.P.,182,N/A,4153,socks4
185.161.186.82,elite,AS43618,ES,Inforcelra SLU,64,INFORCELRA SL,54321,socks4
14.161.17.4,elite,AS45899,VN,VNPT,290,Vietnam Posts and Telecommunications Group,4153,socks4
103.66.233.177,elite,AS134014,IN,NET 4 U SERVICES,181,N/A,4145,socks4
173.245.49.65,elite,AS13335,US,"Cloudflare, Inc.",2,"Cloudflare, Inc.",80,socks4
181.65.121.34,elite,AS6147,PE,TDP-GRS,185,PE-TDP-GRS,8080,socks4
165.22.209.96,elite,AS14061,IN,"DigitalOcean, LLC",160,"DigitalOcean, LLC",25150,socks5
114.4.200.222,elite,AS4761,ID,PT. INDOSAT Tbk,186,PT. INDOSAT Tbk,5678,socks4
103.1.105.10,elite,N/A,MY,TM TECHNOLOGY SERVICES SDN BHD,193,N/A,4153,socks4
109.166.207.162,elite,AS8953,RO,Orange Romania Network,98,Orange Romania S.A,3629,socks4
131.0.143.1,elite,AS61885,BR,Mgnetmoc Ltda,214,Mgnetmoc Ltda,4145,socks4
